"","text","label","english"
"1","{Deutschland ist aktuell nur formal eine Demokratie. Denn in Wahrheit regieren linke Eliten über die Köpfe der wirklichen Bevölkerung hinweg.}",1,"{Germany is currently only formally a democracy. In reality, left-wing elites are ruling over the heads of the real population.}"
"2","{In Berlin sitzen Leute, die noch nie eine Schaufel in der Hand gehabt haben. Die sollen entweder mal anpacken oder das Maul halten.}",1,"{There are people in Berlin who have never held a shovel in their hands. They should either get to work or shut up.}"
"3","{Jetzt ist der Punkt erreicht, wo endlich die schweigende große Mehrheit dieses Landes sich die Demokratie wieder zurückholen muss.}",1,"{We have now reached the point where the silent majority of this country must finally take back democracy.}"
"4","{Man muss die Bevölkerung ernst nehmen und ihnen nicht ständig sagen, dass sie falsch liegen. So wie ich denkt beim Heizungsgesetz die große Mehrheit. Wenn man das nicht offen aussprechen darf, dann hat die Demokratie ein Problem. Die Grünen versündigen sich an der Demokratie, weil sie die Bevölkerung spalten.}",1,"{You have to take the people seriously and not keep telling them that they are wrong. The vast majority think the same way I do about the heating law. If you are not allowed to say this openly, then democracy has a problem. The Greens are sinning against democracy because they are dividing the population.}"
"5","{Wir wollen nicht, dass unser Land den ganzen Tag von einigen wenigen grünen Funktionären umerzogen wird. Schluss mit dieser Ideologie.}",1,"{We don't want our country to be re-educated all day long by a few green functionaries. Put an end to this ideology.}"
"6","{Wir sollten uns stattdessen unseren Reichtum von den Superreichen zurückholen.}",1,"{Instead, we should take our wealth back from the super-rich.}"
"7","{Die Grünen möchten mit ihrer ideologiegetriebenen Politik unsere freiheitliche Art zu Leben zerstören. Sie wollen Verbote statt Freiheit.}",1,"{The Greens want to destroy our liberal way of life with their ideology-driven policies. They want bans instead of freedom.}"
"8","{Gegenderte Sprache lehnt die große Mehrheit der Bevölkerung ab. Sie empfindet sie als übergriffig und möchte sich nicht vorschreiben lassen, wie sie zu reden hat.}",1,"{The vast majority of the population rejects gendered language. They see it as invasive and do not want to be told how to speak.}"
"9","{Der Wortbruch der etablierten Parteien bezüglich des Euros und die immer weitere Zentralisierung der EU bedrohen die Zukunft unseres Landes und unserer Kinder. Diese fatale Politik muss beendet werden.}",1,"{The established parties' breach of promise regarding the euro and the ever-increasing centralisation of the EU threaten the future of our country and our children. This fatal policy must be stopped.}"
"10","{Die europäischen Völker lehnen die von Berliner, Pariser und Brüsseler Eliten vorangetriebene schleichende Umwandlung des Staatenbunds Europa in einen EU-Zentralstaat ab.}",1,"{The people of Europe reject the creeping transformation of the European confederation of states into a centralised EU state being pushed forward by the Berlin, Paris and Brussels elites.}"
"11","{Es ist zu hoffen, dass die schweigende Mehrheit beginnt, diese einfachen Antworten und Platitüden zu hinterfragen. Dass sie denen misstraut, die sich über jeden Zweifel erhaben geben und die. Denn es sind gerade diese Menschen, die eine Gefahr für unsere populistische Gesellschaft darstellen.}",0,"{It is to be hoped that the silent majority will begin to question these simple answers and platitudes. That they mistrust those who claim to be above reproach and who. Because it is precisely these people who pose a danger to our populist society.}"
"12","{Gegen ein leckeres Schokoladeneis kann doch wirklich niemand etwas einwenden - selbst der letzte Sommermuffel sagt hier nicht nein!}",0,"{No one can really object to a delicious chocolate ice cream - even the last summer grump won't say no!}"
