"index","terms"
"1","*einbußen"
"2","*handel"
"3","*konzern*"
"4","*verlust*"
"5","*wirtschaft*"
"6","*zins*"
"7","aktiengesellschaften"
"8","aktienmarkt"
"9","amazon"
"10","angestellte"
"11","angestellten"
"12","anzahlung"
"13","arbeiter"
"14","arbeiterinnen"
"15","arbeits"
"16","arbeitsausfall"
"17","arbeitsleben"
"18","arbeitslos*"
"19","arbeitsmarkt"
"20","auszahlung"
"21","auszahlungen"
"22","bank*"
"23","baubranche"
"24","baufirmen"
"25","baumarkt"
"26","bestell"
"27","bestellen"
"28","besteuern"
"29","besteuerung"
"30","betriebe"
"31","betriebskosten"
"32","bezahlung"
"33","billig*"
"34","billion"
"35","binnenmarkt"
"36","bonuszahlung"
"37","bonuszahlungen"
"38","börse*"
"39","branche"
"40","branchen"
"41","bruttosozialprodukt"
"42","corona*hilf*"
"43","coronabonus"
"44","coronahilfe"
"45","coronahilfen"
"46","coronasteuer"
"47","dienstgeber"
"48","dienstleist*"
"49","einkauf*"
"50","einkaufskorb"
"51","einkommenssteuer"
"52","einkommensteuer"
"53","einmalzahlung"
"54","einzelhandels"
"55","einzelhändler"
"56","einzelhändlern"
"57","einzelunternehmer"
"58","einzukaufen"
"59","energiekosten"
"60","eventbranche"
"61","export*"
"62","finanziellen"
"63","finanzmarkt"
"64","firmen"
"65","firmenpleiten"
"66","fixkosten*"
"67","fleischproduktion"
"68","fleischproduzenten"
"69","freiberufler"
"70","freihandelsabkommen"
"71","gastarbeiter"
"72","gastronomie"
"73","gastronomiebetriebe"
"74","gastronomien"
"75","geschäften"
"76","gesundheitsbranche"
"77","gewinn"
"78","gewinne"
"79","großbetriebe"
"80","grosskapital"
"81","großunternehmen"
"82","grunderwerbssteuer"
"83","grundsteuer"
"84","günstig"
"85","handelns"
"86","handels"
"87","handelsabkommen"
"88","handelsangestellte"
"89","handelsangestellten"
"90","handelskette*"
"91","handelspakt"
"92","handelspartner"
"93","händler"
"94","händlern"
"95","heizkosten"
"96","hersteller"
"97","herstellern"
"98","hilfsfonds"
"99","hilfsgelder"
"100","hilfsgeldern"
"101","hilfsmaßnahmen"
"102","hilfspaket*"
"103","hilfszahlungen"
"104","hochkonjunktur"
"105","hotelerie"
"106","hotellerie"
"107","import"
"108","insolven*"
"109","job*"
"110","kaufen"
"111","kaufland"
"112","kaufpreis"
"113","kleinbetriebe"
"114","kleinunternehmen"
"115","kleinunternehmer"
"116","konjunktur*"
"117","konkurs"
"118","konkurse"
"119","konzern*"
"120","krankenkassenbeiträge"
"121","krisenproduktion"
"122","kurzarbeit"
"123","kurzarbeiter"
"124","kurzarbeitergeld"
"125","kurzarbeitern"
"126","langzeitarbeitslosen"
"127","lebenshaltungskosten"
"128","leitindex"
"129","lieferando"
"130","lieferdienste"
"131","lieferketten"
"132","lohnkosten"
"133","lohnsteuer"
"134","markt"
"135","marktplatz"
"136","massenarbeitslosigkeit"
"137","massenproduktion"
"138","medienunternehmen"
"139","mehrkosten"
"140","mehrwertsteuersenkung"
"141","milliardenhöhe"
"142","millonär*"
"143","mitarbeiter*"
"144","mittelständler"
"145","nebenjob"
"146","nebenkosten"
"147","neuverschuldung"
"148","novemberhilfe"
"149","novemberhilfen"
"150","ökosteuer"
"151","onlineshop"
"152","onlineshops"
"153","onlineversand*"
"154","pendler"
"155","pleite*"
"156","preise"
"157","privatwirtschaft"
"158","produktion*"
"159","produzent*"
"160","regale"
"161","reichensteuer"
"162","reisebranche"
"163","rettungspaket"
"164","rückzahlung"
"165","ruin"
"166","schwarzmarkt"
"167","selbstständige"
"168","selbstständigen"
"169","soforthilfe*"
"170","sonderzahlung"
"171","sonderzahlungen"
"172","sozialausgaben"
"173","sozialpartner*"
"174","sozialpolitik"
"175","staatshilfe"
"176","staatshilfen"
"177","staatskosten"
"178","steuer"
"179","steuerausgleich"
"180","steuereinnahmen"
"181","steuererhöhung"
"182","steuererleichterungen"
"183","steuerfrei"
"184","steuerklasse"
"185","steuersatz"
"186","steuersätze"
"187","stornokosten"
"188","strafzahlungen"
"189","stromkosten"
"190","subunternehmer"
"191","summen"
"192","tierprodukte"
"193","tourismusbranche"
"194","überbrückungshilfe"
"195","überbrückungshilfen"
"196","überproduktion"
"197","umsatz*"
"198","umsätze"
"199","unternehmen*"
"200","unternehmer"
"201","unternehmerinnen"
"202","unternehmern"
"203","veranstaltungsbranche"
"204","verdienstausfall"
"205","versand"
"206","versandhandel"
"207","versandhändler"
"208","waffenexporte"
"209","warenkorb"
"210","weltmarkt"
"211","zahlung"
"212","zahlungen"
"213","zahlungsunfähig*"
"214","zalando"
"215","zeitarbeit*"
"216","zeitarbeiter*"
